Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,HBP,RBI,SO,SF,H,GIDP,3B,PA,HR,XBH,SH,R,BB,AB,SB,CS,IBB,TB,2B,SHO,ER,ERA,DEC,WP,GS,CG,SV,IP,TBF,GF,Pitches Thrown,Pitching Outs,Actual Stat,Hit
Dustin May,P,LAD,Pitches Thrown,90.5,SD,base,Mon 9:40 PM,0,,1,,6,,,,0,,,6,4,,,,0,,,0,5,9.00,,0,1,0,0,5.0,25,0,89,15,89.0,0
Dustin May,P,LAD,Pitcher Fantasy Score,27.5,SD,base,Mon 9:40 PM,0,,1,,6,,,,0,,,6,4,,,,0,,,0,5,9.00,,0,1,0,0,5.0,25,0,89,15,3.0,0
Nick Pivetta,P,SD,Pitcher Fantasy Score,30.5,LAD,base,Mon 9:40 PM,0,,3,,8,,,,1,,,5,2,,,,0,,,0,4,9.00,,0,1,0,0,4.0,23,0,93,12,9.0,0
Nick Pivetta,P,SD,Pitcher Strikeouts,6.0,LAD,base,Mon 9:40 PM,0,,3,,8,,,,1,,,5,2,,,,0,,,0,4,9.00,,0,1,0,0,4.0,23,0,93,12,3.0,0
Nick Pivetta,P,SD,Pitches Thrown,89.5,LAD,base,Mon 9:40 PM,0,,3,,8,,,,1,,,5,2,,,,0,,,0,4,9.00,,0,1,0,0,4.0,23,0,93,12,93.0,1
Nick Pivetta,P,SD,Pitching Outs,17.5,LAD,base,Mon 9:40 PM,0,,3,,8,,,,1,,,5,2,,,,0,,,0,4,9.00,,0,1,0,0,4.0,23,0,93,12,12.0,0
Emerson Hancock,P,SEA,Pitcher Strikeouts,3.0,AZ,base,Mon 9:40 PM,0,,3,,6,,,,1,,,2,3,,,,0,,,0,2,3.60,,0,1,0,0,5.0,23,0,85,15,3.0,1
Emerson Hancock,P,SEA,Pitcher Fantasy Score,18.5,AZ,base,Mon 9:40 PM,0,,3,,6,,,,1,,,2,3,,,,0,,,0,2,3.60,,0,1,0,0,5.0,23,0,85,15,18.0,0
Emerson Hancock,P,SEA,Pitches Thrown,88.5,AZ,base,Mon 9:40 PM,0,,3,,6,,,,1,,,2,3,,,,0,,,0,2,3.60,,0,1,0,0,5.0,23,0,85,15,85.0,0
Merrill Kelly,P,AZ,Pitcher Strikeouts,5.5,SEA,base,Mon 9:40 PM,0,,7,,4,,,,0,,,0,2,,,,0,,,0,0,0.00,,0,1,0,0,6.0,22,0,92,18,7.0,1
Merrill Kelly,P,AZ,Pitcher Fantasy Score,30.5,SEA,base,Mon 9:40 PM,0,,7,,4,,,,0,,,0,2,,,,0,,,0,0,0.00,,0,1,0,0,6.0,22,0,92,18,43.0,1
Merrill Kelly,P,AZ,Pitches Thrown,96.5,SEA,base,Mon 9:40 PM,0,,7,,4,,,,0,,,0,2,,,,0,,,0,0,0.00,,0,1,0,0,6.0,22,0,92,18,92.0,0
