Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,HBP,RBI,SO,SF,H,GIDP,3B,PA,HR,XBH,SH,R,BB,AB,SB,CS,IBB,TB,2B,SHO,ER,ERA,DEC,WP,GS,CG,SV,IP,TBF,GF,Pitches Thrown,Pitching Outs,Actual Stat,Hit
Rafael Devers,IF,BOS,Hitter Fantasy Score,6.5,TB,base,Mon 7:10 PM,0,0,2,0,0,0,0,6,0,0,0,2,3,3,0,0,1,0,0,,,,,,,,,,,,0,0,10.0,1
Josh Lowe,OF,TB,Hitter Fantasy Score,6.5,BOS,base,Mon 7:10 PM,0,1,1,0,1,0,0,6,0,1,0,2,1,5,0,0,0,2,1,,,,,,,,,,,,0,0,13.0,1
Jarren Duran,OF,BOS,Hitter Fantasy Score,7.5,TB,base,Mon 7:10 PM,0,0,2,0,1,0,0,6,0,1,0,1,0,6,0,0,0,2,1,,,,,,,,,,,,0,0,7.0,0
Trevor Story,IF,BOS,Hitter Fantasy Score,5.0,TB,base,Mon 7:10 PM,0,1,2,0,2,0,0,6,0,0,0,0,0,6,1,0,0,2,0,,,,,,,,,,,,0,0,13.0,1
Brandon Lowe,IF,TB,Hitter Fantasy Score,5.5,BOS,base,Mon 7:10 PM,0,1,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,1,0,,,,,,,,,,,,0,0,7.0,1
Jonathan Aranda,IF,TB,Hitter Fantasy Score,5.5,BOS,base,Mon 7:10 PM,0,2,2,1,2,0,0,6,0,0,0,0,1,4,0,0,1,2,0,,,,,,,,,,,,0,0,12.0,1
David Hamilton,IF,BOS,Hitter Fantasy Score,3.5,TB,base,Mon 7:10 PM,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Wilyer Abreu,OF,BOS,Hitter Fantasy Score,5.5,TB,base,Mon 7:10 PM,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Junior Caminero,IF,TB,Hitter Fantasy Score,5.5,BOS,base,Mon 7:10 PM,0,1,0,0,0,0,0,6,0,0,0,1,1,5,0,0,0,0,0,,,,,,,,,,,,0,0,6.0,1
Ceddanne Rafaela,IF,BOS,Hitter Fantasy Score,3.5,TB,base,Mon 7:10 PM,0,0,1,0,2,0,0,6,0,0,0,1,1,5,1,0,0,2,0,,,,,,,,,,,,0,0,15.0,1
Carlos Narvaez,C,BOS,Hitter Fantasy Score,5.0,TB,base,Mon 7:10 PM,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Abraham Toro,IF,BOS,Hitter Fantasy Score,5.5,TB,base,Mon 7:10 PM,1,1,1,0,1,0,0,6,0,1,0,2,0,5,0,0,0,2,1,,,,,,,,,,,,0,0,13.0,1
Marcelo Mayer,IF,BOS,Hitter Fantasy Score,4.5,TB,base,Mon 7:10 PM,0,0,0,0,1,0,0,2,0,1,0,1,1,1,0,0,0,2,1,,,,,,,,,,,,0,0,9.0,1
Matt Thaiss,C,TB,Hitter Fantasy Score,3.5,BOS,base,Mon 7:10 PM,0,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Ronald Acuna,OF,ATL,Total Bases,1.5,MIL,base,Mon 7:40 PM,0,1,1,0,1,0,0,5,1,1,0,2,2,3,0,0,0,4,0,,,,,,,,,,,,0,0,4.0,1
Matt Olson,IF,ATL,Hits+Runs+RBIs,1.5,MIL,base,Mon 7:40 PM,0,2,1,0,1,0,0,5,1,1,0,1,2,3,0,0,0,4,0,,,,,,,,,,,,0,0,4.0,1
Joey Ortiz,IF,MIL,Hits,0.5,ATL,base,Mon 7:40 PM,0,0,0,0,1,0,0,3,0,1,0,1,0,3,0,0,0,2,1,,,,,,,,,,,,0,0,1.0,1
Joey Ortiz,IF,MIL,Total Bases,0.5,ATL,base,Mon 7:40 PM,0,0,0,0,1,0,0,3,0,1,0,1,0,3,0,0,0,2,1,,,,,,,,,,,,0,0,2.0,1
Jackson Chourio,OF,MIL,Hits+Runs+RBIs,1.5,ATL,base,Mon 7:40 PM,0,0,2,0,1,0,0,4,0,0,0,0,0,4,0,1,0,1,0,,,,,,,,,,,,0,0,1.0,0
Nick Allen,IF,ATL,Total Bases,0.5,MIL,base,Mon 7:40 PM,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Daz Cameron,OF,MIL,Total Bases,0.5,ATL,base,Mon 7:40 PM,0,0,2,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,1
Daz Cameron,OF,MIL,Hits,0.5,ATL,base,Mon 7:40 PM,0,0,2,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,1
Christian Yelich,OF,MIL,Hitter Fantasy Score,5.0,ATL,base,Mon 7:40 PM,0,0,3,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
Ronald Acuna,OF,ATL,Hitter Fantasy Score,8.5,MIL,base,Mon 7:40 PM,0,1,1,0,1,0,0,5,1,1,0,2,2,3,0,0,0,4,0,,,,,,,,,,,,0,0,20.0,1
Austin Riley,IF,ATL,Hitter Fantasy Score,6.5,MIL,base,Mon 7:40 PM,0,0,0,0,3,0,0,5,0,1,0,2,0,5,0,0,0,4,1,,,,,,,,,,,,0,0,15.0,1
Matt Olson,IF,ATL,Hitter Fantasy Score,6.5,MIL,base,Mon 7:40 PM,0,2,1,0,1,0,0,5,1,1,0,1,2,3,0,0,0,4,0,,,,,,,,,,,,0,0,20.0,1
Marcell Ozuna,DH,ATL,Hitter Fantasy Score,5.5,MIL,base,Mon 7:40 PM,1,2,0,0,2,0,0,5,0,0,0,0,0,4,0,0,0,2,0,,,,,,,,,,,,0,0,12.0,1
Michael Harris,OF,ATL,Hitter Fantasy Score,4.5,MIL,base,Mon 7:40 PM,0,0,1,0,1,0,0,5,0,0,1,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,0
