Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Jac Caglianone,8,14,3,0,1,14,0.214,0.214,0.286,0.5
Lars Nootbaar,46,98,22,2,4,114,0.224,0.333,0.327,0.66
Brendan Donovan,39,86,21,2,9,94,0.244,0.309,0.384,0.692
Brice Turang,42,77,20,1,5,85,0.26,0.321,0.325,0.646
William Contreras,35,64,12,0,6,81,0.188,0.346,0.203,0.549
Willson Contreras,33,67,17,1,12,79,0.254,0.359,0.418,0.777
Victor Scott,38,61,11,0,4,74,0.18,0.282,0.213,0.495
Pedro Pages,26,49,12,1,8,54,0.245,0.315,0.388,0.703
Ke'Bryan Hayes,24,56,11,0,4,57,0.196,0.211,0.214,0.425
Ian Happ,43,76,22,1,3,87,0.289,0.379,0.395,0.774
Seiya Suzuki,38,65,21,7,19,77,0.323,0.416,0.708,1.123
Nico Hoerner,34,57,20,0,6,60,0.351,0.367,0.509,0.875
Henry Davis,15,25,4,2,2,26,0.16,0.192,0.4,0.592
Kyle Tucker,49,81,24,5,16,93,0.296,0.387,0.556,0.943
Adam Frazier,16,19,2,0,2,22,0.105,0.227,0.158,0.385
Carson Kelly,28,44,10,1,5,51,0.227,0.314,0.386,0.7
Bryan Reynolds,45,73,18,5,12,81,0.247,0.309,0.493,0.802
Oneil Cruz,43,60,8,1,4,71,0.133,0.268,0.25,0.518
Dansby Swanson,32,55,10,3,7,60,0.182,0.25,0.382,0.632
Andrew McCutchen,35,64,19,0,6,73,0.297,0.37,0.375,0.745
Pete Crow-Armstrong,46,74,13,3,14,78,0.176,0.208,0.351,0.559
Isiah Kiner-Falefa,30,53,13,1,4,55,0.245,0.273,0.302,0.575
Matt Shaw,26,40,10,1,3,46,0.25,0.348,0.375,0.723
Justin Turner,28,49,13,1,5,54,0.265,0.315,0.347,0.662
Spencer Horwitz,9,12,2,0,1,12,0.167,0.167,0.25,0.417
Jeremy Pena,21,33,12,2,5,35,0.364,0.4,0.545,0.945
Jake Meyers,22,33,10,0,2,33,0.303,0.303,0.394,0.697
Yainer Diaz,18,31,10,3,7,32,0.323,0.344,0.613,0.957
Victor Caratini,8,11,3,1,1,13,0.273,0.385,0.636,1.021
Christian Walker,18,29,3,0,5,33,0.103,0.182,0.138,0.32
Michael A Taylor,31,55,9,1,7,57,0.164,0.161,0.327,0.488
Isaac Paredes,17,26,4,2,6,30,0.154,0.267,0.385,0.651
Tim Elko,6,8,2,1,1,9,0.25,0.333,0.625,0.958
Vinny Capra,19,39,4,1,3,41,0.103,0.125,0.179,0.304
Jose Altuve,18,28,8,2,4,30,0.286,0.333,0.536,0.869
Andrew Benintendi,17,26,4,2,4,29,0.154,0.179,0.462,0.64
Austin Slater,17,21,5,2,2,23,0.238,0.304,0.571,0.876
Cam Smith,19,24,5,2,7,30,0.208,0.367,0.542,0.908
Chase Meidroth,22,45,15,1,2,51,0.333,0.412,0.4,0.812
Mike Tauchman,8,10,3,1,2,11,0.3,0.364,0.7,1.064
Jacob Melton,2,5,0,0,0,5,0.0,0.0,0.0,0.0
Kyle Teel,2,2,0,0,0,2,0.0,0.0,0.0,0.0
