Player,FG_ID,EVEV - Exit Velocity (mph) - Speed of the baseball as it comes off the bat,Barrel%Barrel% - Percentage of batted balls that are classified as barrels,HardHit%HardHit% -  Percentage of batted balls with exit velocity of 95 mph or higher,xBAxBA - Expected batting average,xwOBAxwOBA - Expected weighted on-base average
Fernando Tatis,19709,93.9,12.1%,53.1%,.282,.381
Mike Tauchman,15274,90.6,7.7%,49.2%,.274,.364
Rowdy Tellez,15679,91.5,16.5%,49.6%,.258,.355
Alek Thomas,23792,92.2,8.6%,44.6%,.272,.329
Spencer Torkelson,27465,90.7,14.4%,43.7%,.236,.367
Gleyber Torres,16997,90.4,10.8%,37.6%,.296,.397
Mike Trout,10155,92.4,16.5%,54.1%,.275,.396
Kyle Tucker,18345,91.2,12.7%,45.7%,.288,.397
Brice Turang,22186,91.2,6.7%,45.4%,.274,.344
Trea Turner,16252,89.2,7.0%,40.2%,.273,.331
Ramon Urias,18795,89.4,7.0%,40.3%,.258,.316
Miguel Vargas,20178,89.8,10.4%,40.8%,.243,.326
Anthony Volpe,27647,90.3,9.9%,44.2%,.244,.325
Tyler Wade,15730,82.8,0.0%,13.4%,.179,.241
Christian Walker,13419,90.9,13.5%,46.6%,.244,.325
Matt Wallner,26466,92.2,15.2%,48.5%,.251,.371
Taylor Ward,17548,90.5,14.6%,44.9%,.236,.332
Austin Wells,27562,91.0,10.8%,48.6%,.225,.310
Jordan Westburg,27815,89.4,13.4%,43.9%,.265,.343
Eli White,19346,87.6,7.0%,37.4%,.266,.305
Ben Williamson,33197,88.7,3.9%,44.9%,.239,.269
Masyn Winn,27479,88.5,6.0%,35.5%,.259,.314
Bobby Witt,25764,92.8,11.7%,47.1%,.298,.373
James Wood,29518,94.0,17.7%,57.5%,.286,.404
Mike Yastrzemski,14854,90.7,8.8%,40.6%,.238,.322
Christian Yelich,11477,91.3,6.9%,47.4%,.247,.326
Cole Young,31680,86.1,3.0%,18.2%,.205,.227
Jared Young,20404,81.8,12.5%,31.3%,.175,.302
Nathaniel Lowe,19566,89.9,5.9%,41.2%,.242,.308
