Player,FG_ID,BB%BB% - Walk Percentage (BB/PA),K%K% - Strikeout Percentage (SO/PA),BB/KBB/K - Walk to Strikeout Ratio (BB/SO),ISOISO - Isolated Power (SLG-AVG),BABIPBABIP - Batting Average on Balls in Play,wOBAwOBA - Weighted On Base Average (Linear Weights),wRC+wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA
Lourdes Gurriel,19238,6.0%,16.4%,0.36,.181,.272,.320,102
Riley Greene,25976,6.3%,29.8%,0.21,.260,.373,.385,152
Trent Grisham,18564,13.9%,19.2%,0.72,.285,.267,.399,160
Vladimir Guerrero,778,2.3%,8.4%,0.28,.137,.295,.322,98
Vladimir Guerrero,19611,13.5%,13.5%,1.00,.120,.285,.334,116
Ian Happ,17919,11.9%,22.8%,0.52,.155,.280,.319,105
Michael Harris,25931,3.0%,19.3%,0.15,.109,.278,.267,66
Ke'Bryan Hayes,18577,6.8%,21.0%,0.33,.070,.305,.282,75
Jonah Heim,16930,4.4%,23.5%,0.19,.133,.261,.275,73
Gunnar Henderson,26289,10.2%,24.3%,0.42,.220,.404,.401,165
Teoscar Hernandez,13066,4.9%,25.1%,0.20,.200,.271,.307,96
Ivan Herrera,20599,5.8%,22.3%,0.26,.147,.371,.351,126
Sam Hilliard,17954,20.0%,25.7%,0.78,.286,.333,.403,148
Keston Hiura,20003,0.0%,29.4%,0.00,.071,.333,.307,82
Nico Hoerner,21479,6.4%,8.3%,0.78,.045,.299,.291,87
Jackson Holliday,31781,5.6%,20.9%,0.27,.180,.311,.334,117
Spencer Horwitz,26477,10.0%,21.3%,0.47,.113,.283,.290,80
Rhys Hoskins,16472,10.3%,26.9%,0.38,.151,.307,.321,104
Jose Iglesias,10231,5.3%,15.8%,0.33,.000,.268,.245,56
Jonathan India,21523,9.9%,13.1%,0.76,.076,.263,.286,77
Danny Jansen,16535,6.1%,19.4%,0.32,.112,.194,.250,60
Ryan Jeffers,24618,4.6%,21.7%,0.21,.154,.302,.308,97
Jahmai Jones,18872,0.0%,0.0%,0.00,.000,.333,.296,90
Aaron Judge,15640,12.7%,24.6%,0.52,.337,.477,.499,231
Josh Jung,26299,7.8%,24.6%,0.32,.129,.322,.311,99
Isiah Kiner-Falefa,16512,6.4%,15.4%,0.42,.085,.376,.342,117
Alejandro Kirk,22581,5.4%,8.4%,0.64,.117,.326,.347,125
Steven Kwan,24610,9.4%,7.4%,1.27,.155,.323,.378,147
Wyatt Langford,33333,7.3%,25.5%,0.29,.197,.280,.320,105
Ramon Laureano,17128,7.2%,27.7%,0.26,.342,.348,.428,183
Jung Hoo Lee,33824,8.8%,10.2%,0.86,.131,.272,.315,102
DJ LeMahieu,9874,10.4%,18.8%,0.56,.186,.281,.341,120
Francisco Lindor,12916,8.8%,18.0%,0.49,.198,.310,.367,140
Otto Lopez,19608,10.3%,13.8%,0.75,.155,.260,.327,106
Brandon Lowe,18882,7.2%,25.8%,0.28,.219,.349,.367,142
Josh Lowe,19953,10.3%,20.7%,0.50,.104,.228,.269,74
Manny Machado,11493,8.7%,14.4%,0.60,.132,.369,.365,139
Jake Mangum,26202,6.7%,15.7%,0.43,.085,.388,.355,134
