Player,Pitch,RV/100,wOBA,xwOBA,Hard Hit %
James Wood,Curveball,2.0,0.364,0.259,41.7
James Wood,Changeup,0.7,0.322,0.322,50.0
James Wood,Sinker,-1.7,0.31,0.293,51.5
Javier Baez,4-Seam Fastball,0.2,0.26,0.352,61.1
Javier Baez,Sinker,-1.1,0.359,0.271,40.0
Javier Baez,Slider,-1.2,0.29,0.321,44.0
Jeremy Pena,4-Seam Fastball,4.0,0.499,0.429,59.6
Jeremy Pena,Sinker,2.7,0.465,0.402,55.8
Jeremy Pena,Slider,0.7,0.363,0.277,25.5
Joey Ortiz,4-Seam Fastball,0.3,0.313,0.308,38.1
Joey Ortiz,Sinker,-0.8,0.276,0.322,38.1
Joey Ortiz,Slider,-2.0,0.225,0.307,32.3
Jonathan India,Cutter,0.1,0.255,0.337,47.1
Jonathan India,Sinker,-0.3,0.329,0.362,43.5
Jonathan India,4-Seam Fastball,-0.9,0.297,0.364,38.0
Jonathan India,Slider,-1.3,0.26,0.277,22.6
Jordan Beck,Sinker,1.8,0.469,0.341,60.9
Jordan Beck,Slider,1.7,0.353,0.294,30.0
Jordan Beck,4-Seam Fastball,1.2,0.38,0.404,55.6
Jose Altuve,Sinker,0.9,0.415,0.376,39.5
Jose Altuve,Slider,-0.1,0.334,0.287,22.4
Jose Altuve,4-Seam Fastball,-0.6,0.34,0.326,41.5
Jose Tena,4-Seam Fastball,0.0,0.383,0.365,55.9
Jung Hoo Lee,Curveball,2.5,0.413,0.366,34.8
Jung Hoo Lee,Slider,1.9,0.344,0.369,35.0
Jung Hoo Lee,Changeup,0.6,0.312,0.303,25.0
Jung Hoo Lee,Sinker,0.4,0.429,0.29,34.6
Jung Hoo Lee,4-Seam Fastball,-0.9,0.312,0.369,30.4
Justin Turner,4-Seam Fastball,-1.8,0.25,0.294,34.5
Ke'Bryan Hayes,Slider,0.9,0.349,0.347,51.7
Ke'Bryan Hayes,4-Seam Fastball,-2.9,0.186,0.254,45.8
Ke'Bryan Hayes,Sinker,-3.2,0.246,0.342,50.0
Kerry Carpenter,Sinker,1.7,0.53,0.536,66.7
Kerry Carpenter,4-Seam Fastball,-0.2,0.328,0.375,51.9
Kerry Carpenter,Curveball,-0.2,0.252,0.268,41.2
Kerry Carpenter,Changeup,-0.6,0.286,0.246,27.0
Kyle Higashioka,4-Seam Fastball,-1.7,0.279,0.335,41.9
Kyle Isbel,4-Seam Fastball,-0.5,0.363,0.251,30.2
Kyle Tucker,Sinker,4.2,0.549,0.554,63.3
Kyle Tucker,Changeup,2.7,0.423,0.345,42.1
Kyle Tucker,4-Seam Fastball,2.0,0.39,0.46,49.3
Kyle Tucker,Curveball,0.8,0.352,0.322,54.5
Kyle Tucker,Slider,-0.4,0.299,0.303,30.0
Kyle Tucker,Cutter,-1.4,0.313,0.336,31.6
Lars Nootbaar,Changeup,2.5,0.416,0.351,47.4
Lars Nootbaar,Slider,0.6,0.255,0.257,53.8
Lars Nootbaar,Sinker,0.2,0.342,0.347,50.0
Lars Nootbaar,4-Seam Fastball,-0.3,0.32,0.37,53.5
Maikel Garcia,Sinker,1.2,0.433,0.342,61.5
Maikel Garcia,Slider,-0.1,0.333,0.346,42.9
Maikel Garcia,4-Seam Fastball,-0.7,0.302,0.33,44.4
Masyn Winn,4-Seam Fastball,1.8,0.395,0.377,44.0
Masyn Winn,Sinker,1.0,0.394,0.388,43.3
Masyn Winn,Slider,0.4,0.322,0.338,33.3
Masyn Winn,Changeup,-2.9,0.18,0.199,9.5
Matt Shaw,Sinker,-0.4,0.35,0.407,19.0
Matt Shaw,4-Seam Fastball,-2.3,0.227,0.286,36.7
Michael A Taylor,4-Seam Fastball,-2.5,0.192,0.289,60.0
Mike Tauchman,4-Seam Fastball,1.5,0.429,0.408,81.3
Mike Yastrzemski,Slider,1.8,0.374,0.304,36.0
Mike Yastrzemski,Sinker,0.4,0.382,0.388,57.9
Mike Yastrzemski,4-Seam Fastball,-2.1,0.238,0.269,45.2
Nico Hoerner,4-Seam Fastball,0.2,0.355,0.316,41.5
Nico Hoerner,Sinker,-0.6,0.342,0.342,26.0
Nico Hoerner,Slider,-0.9,0.281,0.288,18.2
