Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Luis Rengifo,10,31,4,0,1,34,0.129,0.182,0.129,0.311
Logan O'Hoppe,10,31,2,0,0,32,0.065,0.094,0.065,0.158
Zach Neto,10,41,10,1,5,42,0.244,0.262,0.39,0.652
Nolan Schanuel,10,34,9,0,5,42,0.265,0.39,0.382,0.773
Freddie Freeman,10,30,10,0,4,33,0.333,0.394,0.5,0.894
Max Muncy,10,27,10,5,11,35,0.37,0.514,0.926,1.44
Manny Machado,10,25,11,1,4,27,0.44,0.481,0.64,1.121
Mookie Betts,10,30,9,0,1,33,0.3,0.364,0.333,0.697
Xander Bogaerts,10,21,2,0,0,25,0.095,0.24,0.143,0.383
Fernando Tatis,10,22,4,0,0,28,0.182,0.357,0.182,0.539
Shohei Ohtani,10,26,8,1,2,32,0.308,0.406,0.5,0.906
Teoscar Hernandez,10,29,2,0,1,33,0.069,0.152,0.103,0.255
Tyler Wade,10,17,3,0,3,19,0.176,0.176,0.294,0.471
Jackson Merrill,10,27,5,1,4,31,0.185,0.258,0.333,0.591
Hyeseong Kim,10,23,8,0,2,24,0.348,0.375,0.478,0.853
Lourdes Gurriel,10,28,9,1,3,32,0.321,0.406,0.429,0.835
Ketel Marte,10,23,9,3,7,32,0.391,0.563,0.783,1.345
Eugenio Suarez,10,33,9,2,5,34,0.273,0.294,0.545,0.84
Geraldo Perdomo,10,30,4,0,3,33,0.133,0.212,0.167,0.379
Alek Thomas,10,28,8,1,2,28,0.286,0.286,0.393,0.679
Jose Herrera,10,23,8,0,0,27,0.348,0.4,0.391,0.791
Randy Arozarena,10,35,7,1,2,36,0.2,0.222,0.286,0.508
Josh Naylor,10,34,11,2,10,35,0.324,0.343,0.559,0.902
Miles Mastrobuoni,10,18,8,1,1,22,0.444,0.545,0.611,1.157
Julio Rodriguez,10,36,12,0,1,37,0.333,0.351,0.389,0.74
JP Crawford,10,36,17,1,4,41,0.472,0.537,0.667,1.203
Cal Raleigh,10,35,10,7,15,39,0.286,0.359,0.886,1.245
Corbin Carroll,10,29,9,4,7,35,0.31,0.429,0.828,1.256
Jorge Polanco,10,31,6,0,0,32,0.194,0.219,0.226,0.445
