Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Brett Baty,10,11,3,0,0,13,0.273,0.385,0.273,0.657
Junior Caminero,10,19,6,2,6,21,0.316,0.381,0.684,1.065
Juan Soto,10,18,7,2,5,22,0.389,0.5,0.833,1.333
Danny Jansen,10,16,5,1,2,16,0.313,0.313,0.688,1.0
Kameron Misner,10,9,1,0,1,11,0.111,0.273,0.111,0.384
Jake Mangum,10,16,2,0,1,17,0.125,0.125,0.125,0.25
Jared Young,5,5,3,0,1,5,0.6,0.6,1.0,1.6
Brandon Lowe,10,17,2,1,2,18,0.118,0.167,0.294,0.461
Jonathan Aranda,10,12,5,0,2,15,0.417,0.533,0.583,1.117
Ivan Herrera,10,18,3,0,0,24,0.167,0.375,0.222,0.597
Brendan Donovan,10,23,6,1,4,26,0.261,0.346,0.435,0.781
Alec Burleson,10,17,6,0,2,18,0.353,0.389,0.353,0.742
Brice Turang,10,14,4,0,1,18,0.286,0.444,0.429,0.873
William Contreras,10,15,5,0,2,21,0.333,0.524,0.333,0.857
Willson Contreras,10,22,6,1,6,26,0.273,0.385,0.5,0.885
Sal Frelick,10,22,3,0,0,24,0.136,0.136,0.227,0.364
Victor Scott,10,16,2,0,2,20,0.125,0.263,0.125,0.388
Jackson Chourio,10,22,10,2,6,23,0.455,0.478,0.773,1.251
Vinnie Pasquantino,10,18,3,0,4,18,0.167,0.167,0.222,0.389
Freddy Fermin,10,23,5,1,3,24,0.217,0.25,0.348,0.598
Jonathan India,10,23,8,1,2,25,0.348,0.4,0.565,0.965
Jose Altuve,10,15,5,2,4,16,0.333,0.375,0.8,1.175
Jeremy Pena,10,16,8,2,4,16,0.5,0.5,0.875,1.375
Ryan Jeffers,10,16,2,0,1,20,0.125,0.3,0.188,0.488
Jake Meyers,10,15,6,0,0,15,0.4,0.4,0.467,0.867
Matt Wallner,10,13,1,0,1,14,0.077,0.143,0.154,0.297
Yainer Diaz,10,14,4,1,1,15,0.286,0.333,0.5,0.833
Willi Castro,10,19,9,3,7,20,0.474,0.5,1.158,1.658
Victor Caratini,10,13,4,1,1,16,0.308,0.438,0.615,1.053
Christian Walker,10,15,2,0,5,16,0.133,0.125,0.133,0.258
Ty France,10,21,9,1,3,22,0.429,0.455,0.619,1.074
Cam Smith,10,12,3,0,3,13,0.25,0.308,0.417,0.724
Jonah Bride,10,20,4,0,1,23,0.2,0.261,0.25,0.511
Christian Yelich,10,19,7,0,2,20,0.368,0.4,0.368,0.768
Nolan Arenado,10,24,8,1,3,26,0.333,0.346,0.458,0.804
Lars Nootbaar,10,20,2,0,0,25,0.1,0.28,0.1,0.38
Masyn Winn,10,25,7,0,1,27,0.28,0.333,0.36,0.693
Rhys Hoskins,10,24,5,2,6,26,0.208,0.269,0.458,0.728
Bobby Witt,10,26,5,0,0,29,0.192,0.276,0.308,0.584
Salvador Perez,10,19,6,0,3,19,0.316,0.316,0.316,0.632
Maikel Garcia,10,22,6,2,3,24,0.273,0.333,0.636,0.97
Jac Caglianone,10,17,3,0,1,17,0.176,0.176,0.235,0.412
Carlos Correa,10,16,3,1,4,16,0.188,0.188,0.438,0.625
Mauricio Dubon,10,14,4,0,1,15,0.286,0.333,0.357,0.69
Bryan Reynolds,10,16,5,2,5,18,0.313,0.389,0.75,1.139
Oneil Cruz,10,17,2,0,2,19,0.118,0.211,0.118,0.328
Ian Happ,10,23,5,1,1,24,0.217,0.25,0.435,0.685
Nico Hoerner,10,19,5,0,1,20,0.263,0.3,0.316,0.616
Dansby Swanson,10,20,4,1,2,20,0.2,0.2,0.4,0.6
Andrew McCutchen,10,18,6,1,2,18,0.333,0.333,0.556,0.889
Nick Gonzales,10,18,3,1,1,19,0.167,0.211,0.444,0.655
Michael Busch,10,13,1,0,2,14,0.077,0.143,0.077,0.22
Kyle Tucker,10,18,4,0,1,22,0.222,0.364,0.278,0.641
Ke'Bryan Hayes,10,21,3,0,0,21,0.143,0.143,0.143,0.286
Seiya Suzuki,10,18,5,2,2,20,0.278,0.35,0.611,0.961
Henry Davis,10,17,2,1,1,18,0.118,0.167,0.294,0.461
Pete Crow-Armstrong,10,15,2,1,2,16,0.133,0.188,0.333,0.521
Isiah Kiner-Falefa,10,16,3,0,1,18,0.188,0.222,0.188,0.41
Matt Shaw,10,19,3,0,0,20,0.158,0.2,0.211,0.411
Spencer Horwitz,10,13,2,0,1,13,0.154,0.154,0.231,0.385
Corey Seager,10,16,4,1,3,17,0.25,0.294,0.563,0.857
Marcus Semien,10,14,4,0,0,15,0.286,0.333,0.286,0.619
Josh Smith,10,13,2,0,0,15,0.154,0.267,0.231,0.497
Josh Jung,10,17,6,0,1,17,0.353,0.353,0.353,0.706
Andrew Benintendi,10,13,3,1,3,14,0.231,0.214,0.692,0.907
Wyatt Langford,10,14,2,1,2,18,0.143,0.333,0.357,0.69
Michael A Taylor,10,15,5,1,6,16,0.333,0.313,0.733,1.046
Jake Burger,10,17,5,2,4,18,0.294,0.333,0.765,1.098
Chase Meidroth,10,22,5,1,1,22,0.227,0.227,0.364,0.591
Mike Tauchman,10,13,5,2,4,14,0.385,0.429,0.923,1.352
Vinny Capra,10,19,2,0,0,19,0.105,0.105,0.105,0.211
Adolis Garcia,10,16,3,1,4,16,0.188,0.188,0.375,0.563
Jonah Heim,10,15,2,0,1,16,0.133,0.125,0.133,0.258
Miguel Vargas,10,16,7,1,1,19,0.438,0.526,0.938,1.464
Xander Bogaerts,10,17,3,0,0,17,0.176,0.176,0.176,0.353
Fernando Tatis,10,21,4,0,0,22,0.19,0.227,0.286,0.513
Lourdes Gurriel,10,19,6,0,3,20,0.316,0.35,0.368,0.718
Corbin Carroll,10,13,0,0,0,15,0.0,0.133,0.0,0.133
Ketel Marte,10,18,5,1,3,21,0.278,0.381,0.5,0.881
Eugenio Suarez,10,15,3,2,3,17,0.2,0.294,0.6,0.894
Alek Thomas,10,13,2,0,0,13,0.154,0.154,0.154,0.308
Tyler Wade,10,13,3,0,2,13,0.231,0.231,0.231,0.462
Josh Naylor,10,17,4,1,4,18,0.235,0.278,0.412,0.69
Gavin Sheets,10,18,3,0,5,19,0.167,0.158,0.278,0.436
Jose Iglesias,10,20,5,0,2,22,0.25,0.318,0.3,0.618
Jose Ramirez,10,22,8,0,2,24,0.364,0.417,0.409,0.826
JP Crawford,10,23,3,0,0,28,0.13,0.286,0.174,0.46
Cal Raleigh,10,24,8,2,3,27,0.333,0.407,0.625,1.032
Bo Naylor,10,17,4,1,2,19,0.235,0.316,0.412,0.728
Kyle Manzardo,10,12,1,0,0,12,0.083,0.083,0.083,0.167
Rowdy Tellez,10,10,1,0,2,11,0.1,0.182,0.1,0.282
Miles Mastrobuoni,10,12,3,0,1,12,0.25,0.25,0.417,0.667
Cole Young,3,7,1,0,0,7,0.143,0.143,0.143,0.286
Manny Machado,10,23,5,4,6,26,0.217,0.269,0.739,1.008
Geraldo Perdomo,10,15,3,1,3,17,0.2,0.294,0.4,0.694
Luis Arraez,10,20,4,0,1,22,0.2,0.238,0.25,0.488
Julio Rodriguez,10,27,9,1,2,28,0.333,0.357,0.519,0.876
Steven Kwan,10,22,3,0,1,26,0.136,0.231,0.182,0.413
Dominic Canzone,10,10,1,0,0,10,0.1,0.1,0.1,0.2
Randy Arozarena,10,20,7,0,3,23,0.35,0.391,0.5,0.891
Carlos Santana,10,23,5,1,5,25,0.217,0.28,0.348,0.628
Ben Williamson,10,22,7,0,0,24,0.318,0.375,0.364,0.739
Mike Yastrzemski,10,22,2,0,1,22,0.091,0.091,0.091,0.182
Will Smith,10,21,10,1,5,25,0.476,0.56,0.714,1.274
Mookie Betts,10,15,6,1,2,17,0.4,0.471,0.667,1.137
Heliot Ramos,10,26,7,1,1,28,0.269,0.321,0.423,0.745
Andy Pages,10,17,6,0,3,17,0.353,0.353,0.529,0.882
Shohei Ohtani,10,23,6,2,2,23,0.261,0.261,0.609,0.87
Teoscar Hernandez,10,23,7,2,6,23,0.304,0.304,0.652,0.957
Jung Hoo Lee,10,18,4,0,0,22,0.222,0.364,0.444,0.808
Tommy Edman,10,16,5,1,3,18,0.313,0.389,0.625,1.014
Michael Conforto,10,17,5,0,1,22,0.294,0.455,0.471,0.925
Willy Adames,10,17,2,2,5,20,0.118,0.15,0.471,0.621
