Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Curveball,Sweeper,Changeup,Cutter,Slider,Split Finger,Knuckle Curve,Slow Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
ryan pepiot,P,TB,Earned Runs Allowed,2.5,BOS,base,Tue 7:10 PM,13,3,5,3.2,64,7.58,2.61,2.91,1.42,7.58,26221.0,21.1%,7.3%,13.9%,0.229,1.13,0.255,84.0%,83.0,110.0,4.35,44.7%,,3.7%,,23.1%,5.7%,22.8%,,,,,336.0,0.285,527.0,0.447,240.0,0.204,75.0,0.064,95.14,2436.0,0.556,0.0,0.296,0.407,0.222,94.87,2406.0,0.5,0.0,0.312,0.262,0.312,L,24.0,3.0,5.2,0.0,4.76,0.0,0.0,1.0,0.0,0.0,108.0,17.0,3.0,1.0
ryan pepiot,P,TB,Pitching Outs,17.0,BOS,base,Tue 7:10 PM,13,3,5,3.2,64,7.58,2.61,2.91,1.42,7.58,26221.0,21.1%,7.3%,13.9%,0.229,1.13,0.255,84.0%,83.0,110.0,4.35,44.7%,,3.7%,,23.1%,5.7%,22.8%,,,,,336.0,0.285,527.0,0.447,240.0,0.204,75.0,0.064,95.14,2436.0,0.556,0.0,0.296,0.407,0.222,94.87,2406.0,0.5,0.0,0.312,0.262,0.312,L,24.0,3.0,5.2,0.0,4.76,0.0,0.0,1.0,0.0,0.0,108.0,17.0,17.0,1.0
ryan pepiot,P,TB,Pitcher Fantasy Score,27.5,BOS,base,Tue 7:10 PM,13,3,5,3.2,64,7.58,2.61,2.91,1.42,7.58,26221.0,21.1%,7.3%,13.9%,0.229,1.13,0.255,84.0%,83.0,110.0,4.35,44.7%,,3.7%,,23.1%,5.7%,22.8%,,,,,336.0,0.285,527.0,0.447,240.0,0.204,75.0,0.064,95.14,2436.0,0.556,0.0,0.296,0.407,0.222,94.87,2406.0,0.5,0.0,0.312,0.262,0.312,L,24.0,3.0,5.2,0.0,4.76,0.0,0.0,1.0,0.0,0.0,108.0,17.0,35.0,1.0
ryan pepiot,P,TB,Pitches Thrown,91.5,BOS,base,Tue 7:10 PM,13,3,5,3.2,64,7.58,2.61,2.91,1.42,7.58,26221.0,21.1%,7.3%,13.9%,0.229,1.13,0.255,84.0%,83.0,110.0,4.35,44.7%,,3.7%,,23.1%,5.7%,22.8%,,,,,336.0,0.285,527.0,0.447,240.0,0.204,75.0,0.064,95.14,2436.0,0.556,0.0,0.296,0.407,0.222,94.87,2406.0,0.5,0.0,0.312,0.262,0.312,L,24.0,3.0,5.2,0.0,4.76,0.0,0.0,1.0,0.0,0.0,108.0,17.0,108.0,1.0
mackenzie gore,P,WSH,Pitcher Strikeouts,6.5,NYM,base,Tue 7:10 PM,13,3,5,2.87,108,12.9,2.63,4.91,0.96,7.65,22201.0,35.4%,7.2%,28.2%,0.229,1.14,0.341,83.5%,72.0,65.0,2.58,,,,,,,,,,,,360.0,0.282,537.0,0.421,267.0,0.209,111.0,0.087,,,,,,,,,,,,,,,,23.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,89.0,18.0,6.0,0.0
mackenzie gore,P,WSH,Pitching Outs,17.5,NYM,base,Tue 7:10 PM,13,3,5,2.87,108,12.9,2.63,4.91,0.96,7.65,22201.0,35.4%,7.2%,28.2%,0.229,1.14,0.341,83.5%,72.0,65.0,2.58,,,,,,,,,,,,360.0,0.282,537.0,0.421,267.0,0.209,111.0,0.087,,,,,,,,,,,,,,,,23.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,89.0,18.0,18.0,1.0
mackenzie gore,P,WSH,Hits Allowed,4.5,NYM,base,Tue 7:10 PM,13,3,5,2.87,108,12.9,2.63,4.91,0.96,7.65,22201.0,35.4%,7.2%,28.2%,0.229,1.14,0.341,83.5%,72.0,65.0,2.58,,,,,,,,,,,,360.0,0.282,537.0,0.421,267.0,0.209,111.0,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mackenzie gore,P,WSH,Pitches Thrown,95.5,NYM,base,Tue 7:10 PM,13,3,5,2.87,108,12.9,2.63,4.91,0.96,7.65,22201.0,35.4%,7.2%,28.2%,0.229,1.14,0.341,83.5%,72.0,65.0,2.58,,,,,,,,,,,,360.0,0.282,537.0,0.421,267.0,0.209,111.0,0.087,,,,,,,,,,,,,,,,23.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,89.0,18.0,89.0,0.0
mackenzie gore,P,WSH,Pitcher Fantasy Score,33.5,NYM,base,Tue 7:10 PM,13,3,5,2.87,108,12.9,2.63,4.91,0.96,7.65,22201.0,35.4%,7.2%,28.2%,0.229,1.14,0.341,83.5%,72.0,65.0,2.58,,,,,,,,,,,,360.0,0.282,537.0,0.421,267.0,0.209,111.0,0.087,,,,,,,,,,,,,,,,23.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,89.0,18.0,34.0,1.0
griffin canning,P,NYM,Pitcher Fantasy Score,30.5,WSH,base,Tue 7:10 PM,12,6,2,2.9,57,8.69,3.97,2.19,0.92,7.93,19867.0,22.7%,10.4%,12.4%,0.231,1.32,0.284,81.9%,75.0,96.0,3.78,34.0%,0.8%,,,24.7%,2.1%,32.9%,,5.5%,,,274.0,0.264,466.0,0.449,221.0,0.213,76.0,0.073,94.4,2135.0,0.391,0.0,0.304,0.304,0.391,94.22,2153.0,0.438,0.0,0.469,0.281,0.219,,23.0,4.0,5.1,0.0,6.75,0.0,0.0,1.0,0.0,0.0,87.0,16.0,16.0,0.0
