Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Slider,Curveball,Split Finger,Cutter,Changeup,Knuckle Curve,Sweeper,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
randy vasquez,P,SD,Pitcher Fantasy Score,17.5,LAD,base,Wed 4:10 PM,13,3,4,3.69,37,5.26,4.83,1.09,1.14,8.24,24719,13.4%,12.3%,1.1%,0.243,1.45,0.258,81.4%,96.0,135.0,5.35,18.3%,16.2%,,15.4%,,28.9%,6.2%,,15.1%,,298,0.283,442,0.42,245,0.233,67,0.064,92.93,2332.0,0.56,0.0,0.44,0.28,0.16,92.8,2324.0,0.514,0.0,0.375,0.264,0.208,,18.0,1.0,4.2,0.0,1.93,0.0,0.0,1.0,0.0,0.0,70.0,14.0,23.0,1.0
randy vasquez,P,SD,Pitcher Strikeouts,3.0,LAD,base,Wed 4:10 PM,13,3,4,3.69,37,5.26,4.83,1.09,1.14,8.24,24719,13.4%,12.3%,1.1%,0.243,1.45,0.258,81.4%,96.0,135.0,5.35,18.3%,16.2%,,15.4%,,28.9%,6.2%,,15.1%,,298,0.283,442,0.42,245,0.233,67,0.064,92.93,2332.0,0.56,0.0,0.44,0.28,0.16,92.8,2324.0,0.514,0.0,0.375,0.264,0.208,,18.0,1.0,4.2,0.0,1.93,0.0,0.0,1.0,0.0,0.0,70.0,14.0,4.0,1.0
casey mize,P,DET,Earned Runs Allowed,2.5,BAL,base,Wed 6:35 PM,10,6,1,2.91,48,7.76,2.59,3.0,1.29,8.41,20492,20.7%,6.9%,13.8%,0.241,1.22,0.275,86.3%,73.0,101.0,4.08,33.7%,11.4%,14.1%,,24.6%,,,,0.1%,16.0%,251,0.296,367,0.432,174,0.205,57,0.067,93.98,2276.0,0.571,0.0,0.286,0.357,0.321,93.74,2243.0,0.475,0.0,0.3,0.35,0.3,L,25.0,2.0,5.1,0.0,3.38,0.0,0.0,1.0,0.0,0.0,90.0,16.0,2.0,0.0
casey mize,P,DET,Pitcher Fantasy Score,26.5,BAL,base,Wed 6:35 PM,10,6,1,2.91,48,7.76,2.59,3.0,1.29,8.41,20492,20.7%,6.9%,13.8%,0.241,1.22,0.275,86.3%,73.0,101.0,4.08,33.7%,11.4%,14.1%,,24.6%,,,,0.1%,16.0%,251,0.296,367,0.432,174,0.205,57,0.067,93.98,2276.0,0.571,0.0,0.286,0.357,0.321,93.74,2243.0,0.475,0.0,0.3,0.35,0.3,L,25.0,2.0,5.1,0.0,3.38,0.0,0.0,1.0,0.0,0.0,90.0,16.0,31.0,1.0
casey mize,P,DET,Pitcher Strikeouts,4.5,BAL,base,Wed 6:35 PM,10,6,1,2.91,48,7.76,2.59,3.0,1.29,8.41,20492,20.7%,6.9%,13.8%,0.241,1.22,0.275,86.3%,73.0,101.0,4.08,33.7%,11.4%,14.1%,,24.6%,,,,0.1%,16.0%,251,0.296,367,0.432,174,0.205,57,0.067,93.98,2276.0,0.571,0.0,0.286,0.357,0.321,93.74,2243.0,0.475,0.0,0.3,0.35,0.3,L,25.0,2.0,5.1,0.0,3.38,0.0,0.0,1.0,0.0,0.0,90.0,16.0,7.0,1.0
casey mize,P,DET,Pitching Outs,15.5,BAL,base,Wed 6:35 PM,10,6,1,2.91,48,7.76,2.59,3.0,1.29,8.41,20492,20.7%,6.9%,13.8%,0.241,1.22,0.275,86.3%,73.0,101.0,4.08,33.7%,11.4%,14.1%,,24.6%,,,,0.1%,16.0%,251,0.296,367,0.432,174,0.205,57,0.067,93.98,2276.0,0.571,0.0,0.286,0.357,0.321,93.74,2243.0,0.475,0.0,0.3,0.35,0.3,L,25.0,2.0,5.1,0.0,3.38,0.0,0.0,1.0,0.0,0.0,90.0,16.0,16.0,1.0
zach eflin,P,BAL,Pitcher Fantasy Score,28.5,DET,base,Wed 6:35 PM,8,5,2,4.47,31,6.02,1.17,5.17,1.94,8.94,13774,16.6%,3.2%,13.4%,0.257,1.12,0.261,75.0%,114.0,127.0,5.06,13.6%,19.4%,,15.8%,,21.2%,15.6%,,14.3%,,181,0.265,308,0.45,150,0.219,45,0.066,92.23,2186.0,0.471,0.0,0.353,0.324,0.324,91.99,2183.0,0.403,0.0,0.417,0.347,0.222,W,26.0,1.0,6.2,0.0,1.35,0.0,0.0,1.0,0.0,0.0,86.0,20.0,42.0,1.0
zach eflin,P,BAL,Earned Runs Allowed,2.5,DET,base,Wed 6:35 PM,8,5,2,4.47,31,6.02,1.17,5.17,1.94,8.94,13774,16.6%,3.2%,13.4%,0.257,1.12,0.261,75.0%,114.0,127.0,5.06,13.6%,19.4%,,15.8%,,21.2%,15.6%,,14.3%,,181,0.265,308,0.45,150,0.219,45,0.066,92.23,2186.0,0.471,0.0,0.353,0.324,0.324,91.99,2183.0,0.403,0.0,0.417,0.347,0.222,W,26.0,1.0,6.2,0.0,1.35,0.0,0.0,1.0,0.0,0.0,86.0,20.0,1.0,0.0
zach eflin,P,BAL,Pitcher Strikeouts,5.0,DET,base,Wed 6:35 PM,8,5,2,4.47,31,6.02,1.17,5.17,1.94,8.94,13774,16.6%,3.2%,13.4%,0.257,1.12,0.261,75.0%,114.0,127.0,5.06,13.6%,19.4%,,15.8%,,21.2%,15.6%,,14.3%,,181,0.265,308,0.45,150,0.219,45,0.066,92.23,2186.0,0.471,0.0,0.353,0.324,0.324,91.99,2183.0,0.403,0.0,0.417,0.347,0.222,W,26.0,1.0,6.2,0.0,1.35,0.0,0.0,1.0,0.0,0.0,86.0,20.0,5.0,1.0
zach eflin,P,BAL,Pitches Thrown,91.5,DET,base,Wed 6:35 PM,8,5,2,4.47,31,6.02,1.17,5.17,1.94,8.94,13774,16.6%,3.2%,13.4%,0.257,1.12,0.261,75.0%,114.0,127.0,5.06,13.6%,19.4%,,15.8%,,21.2%,15.6%,,14.3%,,181,0.265,308,0.45,150,0.219,45,0.066,92.23,2186.0,0.471,0.0,0.353,0.324,0.324,91.99,2183.0,0.403,0.0,0.417,0.347,0.222,W,26.0,1.0,6.2,0.0,1.35,0.0,0.0,1.0,0.0,0.0,86.0,20.0,86.0,0.0
