Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Slider,Curveball,Changeup,Sinker,Knuckle Curve,Cutter,Slurve,Slow Curve,Sweeper,Split Finger,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
sonny gray,P,STL,Pitcher Strikeouts,6.0,MIL,base,Thu 7:40 PM,13,7,1,3.35,81,9.68,1.67,5.79,1.08,8.48,12768,26.5%,4.6%,21.9%,0.245,1.13,0.31,76.6%,84.0,80.0,3.12,19.2%,1.0%,17.0%,7.3%,21.5%,,12.8%,,,21.2%,,317,0.277,509,0.445,234,0.205,83,0.073,91.65,2464.0,0.457,0.0,0.457,0.229,0.257,91.82,2473.0,0.42,0.0,0.432,0.247,0.259,L,20.0,6.0,4.1,0.0,12.46,0.0,0.0,1.0,0.0,0.0,76.0,13.0,4.0,0.0
sonny gray,P,STL,Pitches Thrown,90.5,MIL,base,Thu 7:40 PM,13,7,1,3.35,81,9.68,1.67,5.79,1.08,8.48,12768,26.5%,4.6%,21.9%,0.245,1.13,0.31,76.6%,84.0,80.0,3.12,19.2%,1.0%,17.0%,7.3%,21.5%,,12.8%,,,21.2%,,317,0.277,509,0.445,234,0.205,83,0.073,91.65,2464.0,0.457,0.0,0.457,0.229,0.257,91.82,2473.0,0.42,0.0,0.432,0.247,0.259,L,20.0,6.0,4.1,0.0,12.46,0.0,0.0,1.0,0.0,0.0,76.0,13.0,76.0,0.0
sonny gray,P,STL,Hits Allowed,4.5,MIL,base,Thu 7:40 PM,13,7,1,3.35,81,9.68,1.67,5.79,1.08,8.48,12768,26.5%,4.6%,21.9%,0.245,1.13,0.31,76.6%,84.0,80.0,3.12,19.2%,1.0%,17.0%,7.3%,21.5%,,12.8%,,,21.2%,,317,0.277,509,0.445,234,0.205,83,0.073,91.65,2464.0,0.457,0.0,0.457,0.229,0.257,91.82,2473.0,0.42,0.0,0.432,0.247,0.259,,,,,,,,,,,,,,,
jameson taillon,P,CHC,Hits Allowed,4.5,PIT,base,Thu 8:05 PM,13,6,3,3.54,58,6.84,1.65,4.14,1.89,7.19,11674,19.3%,4.7%,14.6%,0.209,0.97,0.207,83.3%,90.0,124.0,4.83,39.3%,,15.1%,11.4%,5.0%,,12.7%,,,16.6%,,337,0.294,527,0.46,217,0.19,64,0.056,91.93,2327.0,0.179,0.0,0.333,0.333,0.154,92.18,2339.0,0.326,0.0,0.337,0.337,0.202,,,,,,,,,,,,,,,
jameson taillon,P,CHC,Pitcher Fantasy Score,32.5,PIT,base,Thu 8:05 PM,13,6,3,3.54,58,6.84,1.65,4.14,1.89,7.19,11674,19.3%,4.7%,14.6%,0.209,0.97,0.207,83.3%,90.0,124.0,4.83,39.3%,,15.1%,11.4%,5.0%,,12.7%,,,16.6%,,337,0.294,527,0.46,217,0.19,64,0.056,91.93,2327.0,0.179,0.0,0.333,0.333,0.154,92.18,2339.0,0.326,0.0,0.337,0.337,0.202,W,24.0,2.0,6.1,0.0,2.84,0.0,0.0,1.0,0.0,0.0,92.0,19.0,44.0,1.0
jameson taillon,P,CHC,Pitches Thrown,88.5,PIT,base,Thu 8:05 PM,13,6,3,3.54,58,6.84,1.65,4.14,1.89,7.19,11674,19.3%,4.7%,14.6%,0.209,0.97,0.207,83.3%,90.0,124.0,4.83,39.3%,,15.1%,11.4%,5.0%,,12.7%,,,16.6%,,337,0.294,527,0.46,217,0.19,64,0.056,91.93,2327.0,0.179,0.0,0.333,0.333,0.154,92.18,2339.0,0.326,0.0,0.337,0.337,0.202,W,24.0,2.0,6.1,0.0,2.84,0.0,0.0,1.0,0.0,0.0,92.0,19.0,92.0,1.0
jameson taillon,P,CHC,Pitcher Strikeouts,5.0,PIT,base,Thu 8:05 PM,13,6,3,3.54,58,6.84,1.65,4.14,1.89,7.19,11674,19.3%,4.7%,14.6%,0.209,0.97,0.207,83.3%,90.0,124.0,4.83,39.3%,,15.1%,11.4%,5.0%,,12.7%,,,16.6%,,337,0.294,527,0.46,217,0.19,64,0.056,91.93,2327.0,0.179,0.0,0.333,0.333,0.154,92.18,2339.0,0.326,0.0,0.337,0.337,0.202,W,24.0,2.0,6.1,0.0,2.84,0.0,0.0,1.0,0.0,0.0,92.0,19.0,7.0,1.0
andrew heaney,P,PIT,Pitcher Fantasy Score,22.5,CHC,base,Thu 8:05 PM,13,3,4,3.24,52,6.47,2.99,2.17,1.12,7.34,15423,17.5%,8.1%,9.4%,0.219,1.15,0.239,81.7%,78.0,110.0,4.38,45.3%,14.8%,4.9%,18.0%,10.2%,,,,6.8%,,,332,0.293,485,0.427,253,0.223,65,0.057,89.93,2375.0,0.531,0.0,0.25,0.375,0.344,90.19,2384.0,0.455,0.0,0.312,0.286,0.351,L,22.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,76.0,18.0,34.0,1.0
andrew heaney,P,PIT,Pitching Outs,16.5,CHC,base,Thu 8:05 PM,13,3,4,3.24,52,6.47,2.99,2.17,1.12,7.34,15423,17.5%,8.1%,9.4%,0.219,1.15,0.239,81.7%,78.0,110.0,4.38,45.3%,14.8%,4.9%,18.0%,10.2%,,,,6.8%,,,332,0.293,485,0.427,253,0.223,65,0.057,89.93,2375.0,0.531,0.0,0.25,0.375,0.344,90.19,2384.0,0.455,0.0,0.312,0.286,0.351,L,22.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,76.0,18.0,18.0,1.0
andrew heaney,P,PIT,Pitcher Strikeouts,4.0,CHC,base,Thu 8:05 PM,13,3,4,3.24,52,6.47,2.99,2.17,1.12,7.34,15423,17.5%,8.1%,9.4%,0.219,1.15,0.239,81.7%,78.0,110.0,4.38,45.3%,14.8%,4.9%,18.0%,10.2%,,,,6.8%,,,332,0.293,485,0.427,253,0.223,65,0.057,89.93,2375.0,0.531,0.0,0.25,0.375,0.344,90.19,2384.0,0.455,0.0,0.312,0.286,0.351,L,22.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,76.0,18.0,7.0,1.0
framber valdez,P,HOU,Pitcher Strikeouts,7.0,CWS,base,Thu 8:10 PM,13,6,4,3.07,84,8.89,2.86,3.11,0.64,6.67,17295,25.1%,8.1%,17.0%,0.207,1.06,0.265,75.7%,78.0,76.0,3.08,0.8%,3.2%,32.5%,17.1%,46.3%,,,,,,,319,0.265,539,0.448,264,0.22,80,0.067,,,0.438,0.0,0.719,0.062,0.219,92.32,2274.0,0.506,0.0,0.682,0.165,0.141,W,24.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,1.0,0.0,95.0,15.0,12.0,1.0
framber valdez,P,HOU,Pitcher Fantasy Score,41.5,CWS,base,Thu 8:10 PM,13,6,4,3.07,84,8.89,2.86,3.11,0.64,6.67,17295,25.1%,8.1%,17.0%,0.207,1.06,0.265,75.7%,78.0,76.0,3.08,0.8%,3.2%,32.5%,17.1%,46.3%,,,,,,,319,0.265,539,0.448,264,0.22,80,0.067,,,0.438,0.0,0.719,0.062,0.219,92.32,2274.0,0.506,0.0,0.682,0.165,0.141,W,24.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,1.0,0.0,95.0,15.0,51.0,1.0
framber valdez,P,HOU,Pitches Thrown,95.5,CWS,base,Thu 8:10 PM,13,6,4,3.07,84,8.89,2.86,3.11,0.64,6.67,17295,25.1%,8.1%,17.0%,0.207,1.06,0.265,75.7%,78.0,76.0,3.08,0.8%,3.2%,32.5%,17.1%,46.3%,,,,,,,319,0.265,539,0.448,264,0.22,80,0.067,,,0.438,0.0,0.719,0.062,0.219,92.32,2274.0,0.506,0.0,0.682,0.165,0.141,W,24.0,2.0,5.0,0.0,3.6,0.0,0.0,1.0,1.0,0.0,95.0,15.0,95.0,0.0
davis martin,P,CWS,Earned Runs Allowed,2.5,HOU,base,Thu 8:10 PM,13,2,6,3.62,48,5.79,2.05,2.82,1.33,8.8,21448,15.6%,5.5%,10.1%,0.255,1.21,0.273,76.3%,90.0,108.0,4.55,30.5%,8.8%,2.9%,23.1%,9.0%,,25.6%,,,,,330,0.286,491,0.425,245,0.212,88,0.076,93.85,2370.0,0.529,0.0,0.441,0.235,0.265,93.88,2404.0,0.474,0.0,0.484,0.253,0.189,L,27.0,4.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,100.0,18.0,4.0,1.0
davis martin,P,CWS,Pitcher Fantasy Score,24.5,HOU,base,Thu 8:10 PM,13,2,6,3.62,48,5.79,2.05,2.82,1.33,8.8,21448,15.6%,5.5%,10.1%,0.255,1.21,0.273,76.3%,90.0,108.0,4.55,30.5%,8.8%,2.9%,23.1%,9.0%,,25.6%,,,,,330,0.286,491,0.425,245,0.212,88,0.076,93.85,2370.0,0.529,0.0,0.441,0.235,0.265,93.88,2404.0,0.474,0.0,0.484,0.253,0.189,L,27.0,4.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,100.0,18.0,21.0,0.0
davis martin,P,CWS,Pitcher Strikeouts,4.0,HOU,base,Thu 8:10 PM,13,2,6,3.62,48,5.79,2.05,2.82,1.33,8.8,21448,15.6%,5.5%,10.1%,0.255,1.21,0.273,76.3%,90.0,108.0,4.55,30.5%,8.8%,2.9%,23.1%,9.0%,,25.6%,,,,,330,0.286,491,0.425,245,0.212,88,0.076,93.85,2370.0,0.529,0.0,0.441,0.235,0.265,93.88,2404.0,0.474,0.0,0.484,0.253,0.189,L,27.0,4.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,100.0,18.0,5.0,1.0
davis martin,P,CWS,Pitches Thrown,91.5,HOU,base,Thu 8:10 PM,13,2,6,3.62,48,5.79,2.05,2.82,1.33,8.8,21448,15.6%,5.5%,10.1%,0.255,1.21,0.273,76.3%,90.0,108.0,4.55,30.5%,8.8%,2.9%,23.1%,9.0%,,25.6%,,,,,330,0.286,491,0.425,245,0.212,88,0.076,93.85,2370.0,0.529,0.0,0.441,0.235,0.265,93.88,2404.0,0.474,0.0,0.484,0.253,0.189,L,27.0,4.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,100.0,18.0,100.0,1.0
