Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Split Finger,Sweeper,Sinker,Changeup,Slider,Curveball,Cutter,Knuckle Curve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
ryne nelson,P,AZ,Hits Allowed,5.5,SD,base,Fri 9:40 PM,14,2,2,4.6,38,7.6,3.0,2.53,0.8,7.0,26253,20.4%,8.1%,12.4%,0.207,1.11,0.244,62.5%,113.0,96.0,3.68,59.3%,,,,5.9%,12.2%,8.7%,13.8%,,203,0.273,341,0.458,156,0.21,44,0.059,95.23,2223.0,0.4,0.0,0.4,0.4,0.1,95.38,2232.0,0.39,0.0,0.475,0.237,0.22,,,,,,,,,,,,,,,
ryne nelson,P,AZ,Pitcher Fantasy Score,21.5,SD,base,Fri 9:40 PM,14,2,2,4.6,38,7.6,3.0,2.53,0.8,7.0,26253,20.4%,8.1%,12.4%,0.207,1.11,0.244,62.5%,113.0,96.0,3.68,59.3%,,,,5.9%,12.2%,8.7%,13.8%,,203,0.273,341,0.458,156,0.21,44,0.059,95.23,2223.0,0.4,0.0,0.4,0.4,0.1,95.38,2232.0,0.39,0.0,0.475,0.237,0.22,L,17.0,7.0,3.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,79.0,15.0,-3.0,0.0
ryne nelson,P,AZ,Pitcher Strikeouts,3.5,SD,base,Fri 9:40 PM,14,2,2,4.6,38,7.6,3.0,2.53,0.8,7.0,26253,20.4%,8.1%,12.4%,0.207,1.11,0.244,62.5%,113.0,96.0,3.68,59.3%,,,,5.9%,12.2%,8.7%,13.8%,,203,0.273,341,0.458,156,0.21,44,0.059,95.23,2223.0,0.4,0.0,0.4,0.4,0.1,95.38,2232.0,0.39,0.0,0.475,0.237,0.22,L,17.0,7.0,3.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,79.0,15.0,3.0,0.0
ryne nelson,P,AZ,Pitching Outs,15.5,SD,base,Fri 9:40 PM,14,2,2,4.6,38,7.6,3.0,2.53,0.8,7.0,26253,20.4%,8.1%,12.4%,0.207,1.11,0.244,62.5%,113.0,96.0,3.68,59.3%,,,,5.9%,12.2%,8.7%,13.8%,,203,0.273,341,0.458,156,0.21,44,0.059,95.23,2223.0,0.4,0.0,0.4,0.4,0.1,95.38,2232.0,0.39,0.0,0.475,0.237,0.22,L,17.0,7.0,3.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,79.0,15.0,15.0,0.0
stephen kolek,P,SD,Pitcher Strikeouts,3.0,AZ,base,Fri 9:40 PM,7,3,1,3.0,29,6.21,3.43,1.81,0.64,7.71,21487,16.8%,9.2%,7.5%,0.234,1.24,0.27,78.7%,78.0,101.0,3.98,28.0%,,6.2%,25.7%,9.3%,15.7%,,15.0%,,173,0.269,297,0.463,132,0.206,40,0.062,94.08,2197.0,0.379,0.0,0.552,0.276,0.138,94.14,2181.0,0.512,0.0,0.538,0.25,0.175,,22.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,13.0,2.0,0.0
stephen kolek,P,SD,Pitching Outs,16.0,AZ,base,Fri 9:40 PM,7,3,1,3.0,29,6.21,3.43,1.81,0.64,7.71,21487,16.8%,9.2%,7.5%,0.234,1.24,0.27,78.7%,78.0,101.0,3.98,28.0%,,6.2%,25.7%,9.3%,15.7%,,15.0%,,173,0.269,297,0.463,132,0.206,40,0.062,94.08,2197.0,0.379,0.0,0.552,0.276,0.138,94.14,2181.0,0.512,0.0,0.538,0.25,0.175,,22.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,13.0,13.0,0.0
stephen kolek,P,SD,Pitcher Fantasy Score,20.5,AZ,base,Fri 9:40 PM,7,3,1,3.0,29,6.21,3.43,1.81,0.64,7.71,21487,16.8%,9.2%,7.5%,0.234,1.24,0.27,78.7%,78.0,101.0,3.98,28.0%,,6.2%,25.7%,9.3%,15.7%,,15.0%,,173,0.269,297,0.463,132,0.206,40,0.062,94.08,2197.0,0.379,0.0,0.552,0.276,0.138,94.14,2181.0,0.512,0.0,0.538,0.25,0.175,,22.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,13.0,23.0,1.0
stephen kolek,P,SD,Earned Runs Allowed,2.5,AZ,base,Fri 9:40 PM,7,3,1,3.0,29,6.21,3.43,1.81,0.64,7.71,21487,16.8%,9.2%,7.5%,0.234,1.24,0.27,78.7%,78.0,101.0,3.98,28.0%,,6.2%,25.7%,9.3%,15.7%,,15.0%,,173,0.269,297,0.463,132,0.206,40,0.062,94.08,2197.0,0.379,0.0,0.552,0.276,0.138,94.14,2181.0,0.512,0.0,0.538,0.25,0.175,,22.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,13.0,0.0,0.0
logan webb,P,SF,Pitcher Strikeouts,5.5,LAD,base,Fri 10:10 PM,14,5,5,2.58,101,10.41,1.75,5.94,0.52,8.66,17995,28.5%,4.8%,23.7%,0.249,1.16,0.342,76.8%,65.0,56.0,2.13,6.9%,,28.4%,37.7%,19.5%,,,7.4%,,357,0.264,573,0.424,321,0.238,100,0.074,93.33,2148.0,0.206,0.0,0.647,0.147,0.118,93.11,2148.0,0.425,0.0,0.609,0.126,0.195,,24.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,98.0,21.0,10.0,1.0
logan webb,P,SF,Pitcher Fantasy Score,31.5,LAD,base,Fri 10:10 PM,14,5,5,2.58,101,10.41,1.75,5.94,0.52,8.66,17995,28.5%,4.8%,23.7%,0.249,1.16,0.342,76.8%,65.0,56.0,2.13,6.9%,,28.4%,37.7%,19.5%,,,7.4%,,357,0.264,573,0.424,321,0.238,100,0.074,93.33,2148.0,0.206,0.0,0.647,0.147,0.118,93.11,2148.0,0.425,0.0,0.609,0.126,0.195,,24.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,98.0,21.0,46.0,1.0
