Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time
Jalen Williams,G-F,OKC,Two Pointers Attempted,13.0,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Free Throws Made,3.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Pts+Rebs,28.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Assists,5.0,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Pts+Asts,27.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Rebounds,6.0,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Rebs+Asts,11.0,IND,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,3-PT Attempted,3.5,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Rebs+Asts,8.0,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Pts+Asts,16.0,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,FG Made,4.0,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Personal Fouls,3.0,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Assists,4.5,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Pts+Rebs,14.5,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Points,11.5,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,FG Attempted,10.0,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Pts+Rebs+Asts,19.5,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Two Pointers Made,3.0,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Free Throws Made,1.5,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Fantasy Score,23.5,OKC,base,Thu 8:40 PM
Andrew Nembhard,G-F,IND,Two Pointers Attempted,6.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Two Pointers Attempted,4.0,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Rebs+Asts,5.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Free Throws Attempted,2.0,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Pts+Asts,12.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Personal Fouls,3.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Rebounds,4.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Offensive Rebounds,0.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Points,11.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Pts+Rebs+Asts,17.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Pts+Rebs,16.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,3-PT Attempted,5.0,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,Fantasy Score,20.5,OKC,base,Thu 8:40 PM
Aaron Nesmith,G-F,IND,FG Attempted,9.0,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,FG Attempted,6.0,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,Personal Fouls,1.5,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,Pts+Rebs+Asts,11.0,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,Pts+Asts,8.5,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,Pts+Rebs,9.5,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,FG Made,2.5,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,Two Pointers Attempted,4.0,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,Points,7.5,OKC,base,Thu 8:40 PM
Bennedict Mathurin,G-F,IND,Free Throws Attempted,2.5,OKC,base,Thu 8:40 PM
Isaiah Joe,G,OKC,Pts+Rebs,4.5,IND,base,Thu 8:40 PM
Isaiah Joe,G,OKC,Points,3.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Offensive Rebounds,2.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,FG Made,6.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Two Pointers Made,5.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,3-PT Attempted,4.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Pts+Rebs,26.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Fantasy Score,36.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Rebounds,9.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Points,16.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Assists,1.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Rebs+Asts,11.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,FG Attempted,12.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Free Throws Made,3.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Steals,0.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Personal Fouls,2.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Two Pointers Attempted,8.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Pts+Rebs+Asts,27.5,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Defensive Rebounds,7.0,IND,base,Thu 8:40 PM
Chet Holmgren,C-F,OKC,Pts+Asts,18.5,IND,base,Thu 8:40 PM
Obi Toppin,F,IND,Points,8.5,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Personal Fouls,2.0,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Offensive Rebounds,0.5,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Pts+Rebs+Asts,13.5,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Rebs+Asts,4.5,OKC,base,Thu 8:40 PM
